sum,date
152000,2018-01-01
5224750,2019-01-01
221500,2020-01-01
1336000,2021-01-01
281500,2018-02-01
886250,2019-02-01
1427000,2020-02-01
326000,2018-03-01
190500,2019-03-01
399500,2020-03-01
285500,2018-04-01
120250,2019-04-01
1107000,2020-04-01
248000,2017-05-01
747000,2018-05-01
142000,2019-05-01
461500,2020-05-01
232000,2017-06-01
1214500,2018-06-01
1316000,2019-06-01
1369500,2020-06-01
2000,2021-06-01
72000,2017-07-01
1992000,2018-07-01
271500,2019-07-01
1448500,2020-07-01
1222500,2018-08-01
2979875,2019-08-01
1048500,2020-08-01
312000,2017-09-01
25625,2019-09-01
958500,2020-09-01
430125,2019-10-01
3279500,2020-10-01
8000,2017-11-01
9500,2018-11-01
1277750,2019-11-01
974500,2020-11-01
64000,2017-12-01
550000,2018-12-01
1469750,2019-12-01
2031500,2020-12-01
