fed_rebate,count,date
0,155,2020-01-01
0,749,2021-01-01
0,871,2020-02-01
0,241,2020-03-01
0,714,2020-04-01
0,311,2020-05-01
0,852,2020-06-01
0,1,2021-06-01
0,857,2020-07-01
0,573,2020-08-01
0,528,2020-09-01
0,1906,2020-10-01
0,551,2020-11-01
0,1114,2020-12-01
0.25,72,2019-07-01
0.25,829,2019-08-01
0.25,7,2019-09-01
0.25,123,2019-10-01
0.25,358,2019-11-01
0.25,406,2019-12-01
0.5,965,2019-01-01
0.5,163,2019-02-01
0.5,36,2019-03-01
0.5,23,2019-04-01
0.5,26,2019-05-01
0.5,238,2019-06-01
1,19,2018-01-01
1,35,2018-02-01
1,40,2018-03-01
1,31,2018-04-01
1,31,2017-05-01
1,90,2018-05-01
1,29,2017-06-01
1,146,2018-06-01
1,9,2017-07-01
1,219,2018-07-01
1,135,2018-08-01
1,39,2017-09-01
1,1,2017-11-01
1,1,2018-11-01
1,8,2017-12-01
1,59,2018-12-01
