"","submit_date","make","model","county","zip","ev_type","trans_type","year_ghg_redux_mtco2e","year_petrol_redux_gallons","rebate_usd"
"1",2017-03-30,"toyota","prius prime","albany","12211","phev","purchase","3.03","440.11","1100"
"2",2017-04-03,"kia","soul ev","albany","12205","bev","lease","2.76","592.89","1700"
"3",2017-04-08,"toyota","prius prime","albany","12110","phev","purchase","3.03","440.11","1100"
"4",2017-04-10,"chevrolet","volt","albany","12203","phev","purchase","2.7","525.03","1700"
"5",2017-04-10,"chevrolet","volt","albany","12208","phev","purchase","2.7","525.03","1700"
"6",2017-04-11,"kia","soul ev","albany","12067","bev","lease","2.76","592.89","1700"
"7",2017-04-11,"kia","soul ev","albany","12211","bev","lease","2.76","592.89","1700"
"8",2017-04-11,"toyota","prius prime","albany","12186","phev","purchase","3.03","440.11","1100"
"9",2017-04-11,"toyota","prius prime","albany","12054","phev","purchase","3.03","440.11","1100"
"10",2017-04-18,"toyota","prius prime","albany","12047","phev","purchase","3.03","440.11","1100"
"11",2017-04-21,"toyota","prius prime","albany","12203","phev","lease","3.03","440.11","1100"
"12",2017-04-22,"toyota","prius prime","albany","12110","phev","lease","3.03","440.11","1100"
"13",2017-04-22,"toyota","prius prime","albany","12159","phev","purchase","3.03","440.11","1100"
"14",2017-04-24,"ford","focus","albany","12023","bev","lease","2.76","592.89","1700"
"15",2017-04-24,"toyota","prius prime","albany","12205","phev","purchase","3.03","440.11","1100"
"16",2017-04-26,"bmw","i3 rex","albany","12159","phev","lease","2.95","577.5","1700"
"17",2017-04-27,"chevrolet","bolt","albany","12208","bev","lease","3.07","592.89","2000"
"18",2017-04-27,"chevrolet","bolt","albany","12205","bev","purchase","3.07","592.89","2000"
"19",2017-04-28,"kia","soul ev","albany","12203","bev","lease","2.76","592.89","1700"
"20",2017-05-01,"ford","fusion energi","albany","12054","phev","lease","2.26","375.03","1100"
"21",2017-05-02,"kia","soul ev","albany","12212","bev","lease","2.76","592.89","1700"
"22",2017-05-02,"kia","soul ev","albany","12047","bev","lease","2.76","592.89","1700"
"23",2017-05-02,"toyota","prius prime","albany","12054","phev","purchase","3.03","440.11","1100"
"24",2017-05-02,"toyota","prius prime","albany","12084","phev","purchase","3.03","440.11","1100"
"25",2017-05-04,"chevrolet","bolt","albany","12203","bev","lease","3.07","592.89","2000"
"26",2017-05-05,"toyota","prius prime","albany","12204","phev","purchase","3.03","440.11","1100"
"27",2017-05-06,"toyota","prius prime","albany","12193","phev","purchase","3.03","440.11","1100"
