Data through Date,Submitted Date,Make,Model,County,ZIP,EV Type,Transaction Type,Annual GHG Emissions Reductions (MT CO2e),Annual Petroleum Reductions (gallons),Rebate Amount (USD)
07/09/2021,10/08/2020,Tesla,Model 3,,10549,BEV,Purchase,2.99,592.89,2000
07/09/2021,10/09/2020,Nissan,LEAF,,14623,BEV,Lease,2.91,592.89,2000
07/09/2021,10/14/2020,Tesla,Model X,,10956,BEV,Purchase,2.52,592.89,500
07/09/2021,10/21/2020,Tesla,Model X,,11747,BEV,Lease,2.52,592.89,500
07/09/2021,10/21/2020,Tesla,Model Y,,10014,BEV,Purchase,3.07,592.89,2000
07/09/2021,11/18/2020,Tesla,Model Y,,11101,BEV,Purchase,3.07,592.89,2000
07/09/2021,11/18/2020,Tesla,Model Y,,10516,BEV,Purchase,3.07,592.89,2000
07/09/2021,11/18/2020,Tesla,Model Y,,11374,BEV,Purchase,3.07,592.89,2000
07/09/2021,11/19/2020,Subaru,Crosstrek PHEV,,14094,PHEV,Purchase,1.73,301.46,500
07/09/2021,12/01/2020,Hyundai,Ionic Plug-In Hybrid,,14150,PHEV,Lease,2.89,451.54,1100
07/09/2021,12/09/2020,Tesla,Model Y,,14221,BEV,Lease,3.07,592.89,2000
07/09/2021,12/09/2020,Tesla,Model Y,,14564,BEV,Purchase,3.07,592.89,2000
07/09/2021,12/09/2020,Tesla,Model Y,,11768,BEV,Purchase,3.07,592.89,2000
07/09/2021,12/10/2020,Tesla,Model S,,11940,BEV,Purchase,2.91,592.89,500
07/09/2021,12/10/2020,Tesla,Model Y,,11788,BEV,Purchase,3.07,592.89,2000
07/09/2021,12/11/2020,Tesla,Model Y,,11772,BEV,Lease,3.07,592.89,2000
07/09/2021,12/17/2020,Hyundai,Ionic_Electric,,14086,BEV,Lease,3.31,592.89,2000
07/09/2021,12/18/2020,Tesla,Model 3,,11934,BEV,Purchase,3.31,592.89,2000
07/09/2021,12/28/2020,Kia,Niro,,13501,PHEV,Purchase,2.55,416.8,1100
07/09/2021,12/30/2020,Hyundai,Ionic Plug-In Hybrid,,11229,PHEV,Lease,2.89,451.54,1100
07/09/2021,01/15/2021,Tesla,Model 3,,10536,BEV,Purchase,2.99,592.89,2000
07/09/2021,01/15/2021,Tesla,Model Y,,11746,BEV,Purchase,3.07,592.89,2000
07/09/2021,06/17/2021,Toyota,Prius Prime,,12803,PHEV,Purchase,3.03,440.11,1100
07/09/2021,06/22/2021,Hyundai,Kona Electric,,11572,BEV,Lease,3.07,592.89,2000
07/09/2021,06/23/2021,Hyundai,Ionic Plug-In Hybrid,,10314,PHEV,Lease,2.89,451.54,1100
07/09/2021,06/24/2021,Hyundai,Ionic_Electric,,13036,BEV,Lease,3.31,592.89,2000
07/09/2021,06/29/2021,Chevrolet,Bolt,,10960,BEV,Lease,3.07,592.89,2000
07/09/2021,06/29/2021,Toyota,RAV4 Prime,,14701,PHEV,Lease,2.23,470.52,1700
07/09/2021,03/30/2017,Audi,A3 e-tron,Albany,12189,PHEV,Purchase,1.66,292.89,
07/09/2021,03/30/2017,Toyota,Prius Prime,Albany,12211,PHEV,Purchase,3.03,440.11,1100
07/09/2021,04/03/2017,Kia,Soul EV,Albany,12205,BEV,Lease,2.76,592.89,1700
07/09/2021,04/08/2017,Toyota,Prius Prime,Albany,12110,PHEV,Purchase,3.03,440.11,1100
07/09/2021,04/10/2017,Chevrolet,Volt,Albany,12203,PHEV,Purchase,2.7,525.03,1700
07/09/2021,04/10/2017,Chevrolet,Volt,Albany,12208,PHEV,Purchase,2.7,525.03,1700
07/09/2021,04/11/2017,Kia,Soul EV,Albany,12067,BEV,Lease,2.76,592.89,1700
07/09/2021,04/11/2017,Kia,Soul EV,Albany,12211,BEV,Lease,2.76,592.89,1700
07/09/2021,04/11/2017,Toyota,Prius Prime,Albany,12186,PHEV,Purchase,3.03,440.11,1100
07/09/2021,04/11/2017,Toyota,Prius Prime,Albany,12054,PHEV,Purchase,3.03,440.11,1100
07/09/2021,04/18/2017,Toyota,Prius Prime,Albany,12047,PHEV,Purchase,3.03,440.11,1100
07/09/2021,04/21/2017,Toyota,Prius Prime,Albany,12203,PHEV,Lease,3.03,440.11,1100
07/09/2021,04/22/2017,Toyota,Prius Prime,Albany,12110,PHEV,Lease,3.03,440.11,1100
07/09/2021,04/22/2017,Toyota,Prius Prime,Albany,12159,PHEV,Purchase,3.03,440.11,1100
07/09/2021,04/24/2017,Ford,Focus,Albany,12023,BEV,Lease,2.76,592.89,1700
07/09/2021,04/24/2017,Toyota,Prius Prime,Albany,12205,PHEV,Purchase,3.03,440.11,1100
07/09/2021,04/26/2017,BMW,i3 REx,Albany,12159,PHEV,Lease,2.95,577.5,1700
07/09/2021,04/27/2017,Chevrolet,Bolt,Albany,12208,BEV,Lease,3.07,592.89,2000
07/09/2021,04/27/2017,Chevrolet,Bolt,Albany,12205,BEV,Purchase,3.07,592.89,2000
07/09/2021,04/28/2017,Kia,Soul EV,Albany,12203,BEV,Lease,2.76,592.89,1700
07/09/2021,05/01/2017,Ford,Fusion Energi,Albany,12054,PHEV,Lease,2.26,375.03,1100
07/09/2021,05/02/2017,Kia,Soul EV,Albany,12212,BEV,Lease,2.76,592.89,1700
07/09/2021,05/02/2017,Kia,Soul EV,Albany,12047,BEV,Lease,2.76,592.89,1700
07/09/2021,05/02/2017,Toyota,Prius Prime,Albany,12054,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/02/2017,Toyota,Prius Prime,Albany,12084,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/04/2017,Chevrolet,Bolt,Albany,12203,BEV,Lease,3.07,592.89,2000
07/09/2021,05/05/2017,Toyota,Prius Prime,Albany,12204,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/06/2017,Toyota,Prius Prime,Albany,12193,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/09/2017,Ford,Fusion Energi,Albany,12158,PHEV,Lease,2.26,375.03,1100
07/09/2021,05/14/2017,Kia,Soul EV,Albany,12054,BEV,Lease,2.76,592.89,1700
07/09/2021,05/17/2017,Chevrolet,Bolt,Albany,12054,BEV,Purchase,3.07,592.89,2000
07/09/2021,05/17/2017,Toyota,Prius Prime,Albany,12242,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/22/2017,Tesla,Model X,Albany,12110,BEV,Purchase,2.36,592.89,500
07/09/2021,05/22/2017,Toyota,Prius Prime,Albany,12303,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/23/2017,Ford,Fusion Energi,Albany,12143,PHEV,Lease,2.26,375.03,1100
07/09/2021,05/24/2017,Toyota,Prius Prime,Albany,12120,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/24/2017,Toyota,Prius Prime,Albany,12009,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/25/2017,Chevrolet,Bolt,Albany,12208,BEV,Purchase,3.07,592.89,2000
07/09/2021,05/25/2017,Chevrolet,Volt,Albany,12208,PHEV,Purchase,2.7,525.03,1700
07/09/2021,05/27/2017,Toyota,Prius Prime,Albany,12023,PHEV,Purchase,3.03,440.11,1100
07/09/2021,05/30/2017,Kia,Soul EV,Albany,12203,BEV,Lease,2.76,592.89,1700
07/09/2021,06/05/2017,Toyota,Prius Prime,Albany,12054,PHEV,Purchase,3.03,440.11,1100
07/09/2021,06/07/2017,BMW,X5,Albany,12208,PHEV,Purchase,-0.04,136.64,500
07/09/2021,06/07/2017,Chevrolet,Volt,Albany,12054,PHEV,Purchase,2.7,525.03,1700
07/09/2021,06/12/2017,Chevrolet,Volt,Albany,12211,PHEV,Purchase,2.7,525.03,1700
07/09/2021,06/14/2017,Toyota,Prius Prime,Albany,12158,PHEV,Purchase,3.03,440.11,1100
07/09/2021,06/15/2017,BMW,i3 REx,Albany,12205,PHEV,Lease,2.95,577.5,1700
07/09/2021,06/16/2017,Ford,C-MAX Energi,Albany,12110,PHEV,Lease,2.1,350.58,1100
07/09/2021,06/20/2017,BMW,i3 REx,Albany,12054,PHEV,Lease,2.95,577.5,1700
07/09/2021,06/28/2017,Kia,Soul EV,Albany,12110,BEV,Lease,2.76,592.89,1700
07/09/2021,06/30/2017,Chevrolet,Bolt,Albany,12067,BEV,Lease,3.07,592.89,2000
07/09/2021,07/03/2017,Kia,Soul EV,Albany,12054,BEV,Lease,2.76,592.89,1700
07/09/2021,07/03/2017,Kia,Soul EV,Albany,12205,BEV,Lease,2.76,592.89,1700
07/09/2021,07/03/2017,Toyota,Prius Prime,Albany,12159,PHEV,Purchase,3.03,440.11,1100
07/09/2021,07/03/2017,Toyota,Prius Prime,Albany,12054,PHEV,Purchase,3.03,440.11,1100
07/09/2021,07/05/2017,Kia,Soul EV,Albany,12203,BEV,Lease,2.76,592.89,1700
07/09/2021,07/05/2017,Toyota,Prius Prime,Albany,12009,PHEV,Purchase,3.03,440.11,1100
07/09/2021,07/05/2017,Toyota,Prius Prime,Albany,12158,PHEV,Purchase,3.03,440.11,1100
07/09/2021,07/06/2017,Chevrolet,Bolt,Albany,12203,BEV,Lease,3.07,592.89,2000
07/09/2021,07/06/2017,Chevrolet,Volt,Albany,12211,PHEV,Purchase,2.7,525.03,1700
07/09/2021,07/07/2017,Nissan,LEAF,Albany,12206,BEV,Lease,2.91,592.89,
07/09/2021,07/08/2017,Toyota,Prius Prime,Albany,12309,PHEV,Purchase,3.03,440.11,1100
07/09/2021,07/11/2017,Chevrolet,Bolt,Albany,12204,BEV,Purchase,3.07,592.89,2000
07/09/2021,07/14/2017,Ford,C-MAX Energi,Albany,12211,PHEV,Lease,2.1,350.58,1100
07/09/2021,07/18/2017,Chevrolet,Bolt,Albany,12159,BEV,Lease,3.07,592.89,2000
